delta_global,theta_global,alpha_global,beta_global,gamma_global,delta_asym,theta_asym,alpha_asym,beta_asym,gamma_asym,subject,label
0.6062020190289299,0.15337892576384843,0.06540299572497592,0.11290295360463502,0.02987885984894982,0.0006615117346337977,0.06126185679847695,0.08527610148309751,-0.08982231911763383,-0.05136379562087489,1,2
0.5990750602309272,0.11964902171135221,0.07096354139984269,0.13152127015519963,0.03984262433351479,-0.06433428277029679,0.02850218790945769,0.0706334531468344,0.11310181067550047,0.0018619537317017358,1,1
0.8222319933542686,0.06521392463432804,0.025779409744033414,0.054018110996814424,0.014046377530981187,0.01675965947609014,0.007545947572242313,-0.0573536376278348,-0.1162851327849771,-0.07065539188329671,1,1
0.5799446870436233,0.13781720212440898,0.11798928348157675,0.10444706276244481,0.02910870750201791,-0.08357346778687298,0.16495611578543054,0.12616589885740367,0.038237815340907526,0.190805284817122,1,2
0.681780400545998,0.14088050941385988,0.04515066478747706,0.05545362765384503,0.012686300427078554,-0.011051245715467476,0.04183976002883528,-0.05973841417067621,0.08012287193789545,0.1956621852902283,1,2
0.5591218800725677,0.16131441315548084,0.07039242621170408,0.1424703801805246,0.02509898438336188,-0.15407200546284075,0.16795165917829283,0.15604658025407153,0.15693716970502894,0.011390498488787294,1,1
0.6492313937023372,0.09084404992076357,0.07676613061745112,0.12051767088761031,0.014071130795576647,-0.06394349187452163,0.17544617458002854,-0.09592906160675858,0.12119744776709938,0.16756162620052928,1,2
0.34982746476517484,0.21257647794490409,0.19242954991168423,0.164174613861106,0.023233526614604406,0.007750983494022844,0.08110240333652381,-0.13904598604574148,0.10950640943388411,-0.10476560730368388,1,1
0.7435836115938734,0.06489516531692933,0.053185629636584034,0.10282276482896464,0.010722176666019016,-0.043132425488984126,0.11217306285481003,0.06046694633532978,0.17084093406895517,0.024802969310972506,1,2
0.5019699610417785,0.15073803170964584,0.11642097022668799,0.1706961981671932,0.020833915965446745,-0.004427831090004512,-0.10794114663738914,0.035130790519810516,0.08767579924969043,-0.06875096503094197,1,1
0.6481726909070056,0.11702417839042087,0.053815167806866994,0.13262508401556042,0.02029010820409642,-0.1034117021295763,0.22378012131765093,0.22472490316605007,0.0714266572790388,0.15376476955909535,1,1
0.7001297131106564,0.12992873060340662,0.07251840961715629,0.065541279939777,0.011970524992158879,-0.017010836206628417,0.014140836873426668,0.1149211976137476,-0.023310259971608665,-0.07298503856933386,1,2
0.5316867202162989,0.26365187124412953,0.05474050500052872,0.09864137952734575,0.015169297880213864,-0.11283951472106775,0.1440206959612867,0.10692794279962263,0.03085248217993829,0.13532307819353032,1,1
0.5258832638514563,0.12962436868111288,0.0903069597308397,0.17037845162572637,0.019377212594412437,0.015077312648479576,0.08810234666556349,-0.2074205939547754,0.015667009168783566,0.0022626831961894953,1,2
0.48907510214180905,0.17129452713904345,0.11482057638150274,0.14896335165955235,0.02660743148615361,0.1042778478665304,-0.08440589935810493,-0.10069761256699407,-0.112261856595524,-0.10330305826172502,1,1
0.7042902147607252,0.06091411967484234,0.08613402956442442,0.11124613394500298,0.01564727482919943,-0.09104655547222597,0.24693214682068476,0.22982507088593185,0.14469822786022798,0.1491363949017837,1,1
