delta_global,theta_global,alpha_global,beta_global,gamma_global,delta_asym,theta_asym,alpha_asym,beta_asym,gamma_asym,subject,label
0.5411526780832037,0.11002326141710583,0.10749748416175511,0.14182595286599695,0.019446428683701084,0.014650891755034274,0.08416522215155431,-0.08960723255941402,0.03148621169909188,-0.05790942130080812,1,0
0.6557376264168305,0.11090743117768002,0.0785430192393864,0.09902689456363975,0.017436305036243153,-0.035639453291846854,0.22572794675176383,0.0300247095660801,-0.09126017615194054,0.08620156530275135,1,0
0.44871050331318785,0.1911459984310859,0.162634832148787,0.13369485886782828,0.025387519342815,-0.09995050554570689,0.12793400548517364,0.11513905445471317,-0.0012484806193936416,0.05293776066323384,1,0
0.43892300060478817,0.18946146355818028,0.12978687725785545,0.18343471061531402,0.020849587076156046,-0.10592293488212698,0.08817225030106987,0.08237003286120868,0.026784362877460798,0.16655516594326386,1,0
0.5615325187444915,0.14018132435687497,0.09291334706608867,0.14819441157524338,0.01982906893926812,-0.07823583470593763,0.15144236987160642,0.1258894364115132,0.007843741657119999,-0.015069694570444356,1,0
0.5482645716159997,0.11388433140941737,0.14558315871514863,0.13355880054723204,0.02070627555851281,0.02545032869123872,-0.15328484862290345,-0.01445775559565327,0.0264095451984227,-0.03272974401318742,1,0
0.5880510835699047,0.13249929062380617,0.09952963861010157,0.12684565868661218,0.017113018529828328,-0.09179724410040863,0.1385427308772325,0.2146897545868341,0.07254051404646047,-0.16384498977074977,1,0
0.6257545655071377,0.09396757363768184,0.1419652841747515,0.10317017624234015,0.011955567300328594,-0.04457912473374546,0.16424257490199592,0.0978287831930043,-0.01627592079683927,-0.04503575656529811,1,0
0.4458252099235168,0.14563480017011135,0.13435258820873483,0.1881429640561274,0.019144668016072525,0.016028985131532173,0.043170120178513516,-0.1025108494988348,0.02666846488003352,-0.21845202766472976,1,0
0.5454121568354654,0.1426841736801785,0.08021843667112345,0.18647512071035527,0.017681917477859313,-0.057770248704468674,0.13030484476111664,0.09851232136770768,0.008649478090925807,0.05680151531419429,1,0
0.5959504056824185,0.11275258641654162,0.09904553514726716,0.12459880230134086,0.013025664807924235,-0.011016765024027635,0.03920523345608109,0.024084030245063358,0.06001285968745755,-0.05332724342828312,1,0
0.42039383198545893,0.07401909657161514,0.3140692662577878,0.15839913490624535,0.014484300710590457,0.07704334315933625,0.13113023063028614,-0.1413023738664017,0.02977593356333999,0.03464719967259707,1,1
0.3873813315766464,0.06873827709861753,0.3928929496439783,0.10465251140662936,0.014974923871930279,0.1554942087203118,0.009448869555631557,-0.15653623060335803,-0.018390404283895635,-0.03147203817404799,1,1
0.20269776131364267,0.09336654200830648,0.5693190343182982,0.08061910734740547,0.010836822820612144,0.06710174020662636,0.28421389524795226,-0.1010105425834045,0.053889052323899914,0.24131813797562915,1,1
